Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode
 2018-03-16,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,Fixed Rate Mortgage _ 30-yr,,Online,30,Fixed,4.50%,4.52%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,20YMF,Fixed Rate Mortgage _ 20-yr,,Online,20,Fixed,4.25%,4.29%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,15YMF,Fixed Rate Mortgage _ 15-yr,,Online,15,Fixed,4.00%,4.06%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,10YMF,Fixed Rate Mortgage _ 10-yr,,Online,10,Fixed,4.13%,4.18%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 10/1,,Online,30,Variable,4.38%,4.59%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 7/1,,Online,30,Variable,4.50%,4.72%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 5/1,,Online,30,Variable,4.50%,4.77%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMF,30-year fixed,,Offline,30,Fixed,4.38%,4.72%,"1,00,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,20YMF,20-year fixed,,Offline,20,Fixed,4.25%,4.72%,"1,00,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,15YMF,15-year fixed,,Offline,15,Fixed,4.00%,4.62%,"1,00,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM,,Offline,30,Variable,4.25%,4.86%,"1,00,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30,Variable,4.00%,4.82%,"1,00,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30,Variable,4.00%,4.92%,"1,00,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMF,30-year fixed,,Offline,30,Fixed,4.25%,4.38%,"3,00,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,20YMF,20-year fixed,,Offline,20,Fixed,4.13%,4.31%,"3,00,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,15YMF,15-year fixed,,Offline,15,Fixed,3.75%,4.06%,"3,00,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM,,Offline,30,Variable,4.00%,4.50%,"3,00,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30,Variable,3.75%,4.49%,"3,00,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30,Variable,3.63%,4.60%,"3,00,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMF,30-year fixed,,Offline,30,Fixed,4.25%,4.38%,"5,00,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,15YMF,15-year fixed,,Offline,15,Fixed,4.00%,4.23%,"5,00,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30,Variable,4.50%,4.82%,"5,00,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30,Variable,4.50%,4.88%,"5,00,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30,Fixed,4.38%,4.79%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20,Fixed,4.25%,4.70%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15,Fixed,3.75%,4.36%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10,Fixed,3.75%,4.49%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30,Variable,4.25%,4.88%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30,Variable,4.25%,4.97%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30,Variable,4.25%,5.03%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30,Variable,4.50%,5.22%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30,Fixed,4.38%,4.63%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20,Fixed,4.25%,4.50%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15,Fixed,3.75%,4.10%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10,Fixed,3.75%,4.12%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30,Variable,4.25%,4.73%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30,Variable,4.25%,4.82%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30,Variable,4.25%,4.88%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30,Variable,4.50%,5.06%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30,Fixed,5.00%,5.21%,"5,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15,Fixed,4.63%,4.91%,"5,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30,Variable,4.63%,5.04%,"5,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30,Variable,4.63%,5.03%,"5,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30,Variable,4.63%,5.14%,"5,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,, Offline ,30,Fixed,4.75%,5.01%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,20YMF,Mortgage_20-yr,, Offline ,20,Fixed,4.50%,4.86%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,, Offline ,15,Fixed,4.25%,4.76%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_7/1,, Offline ,30,Fixed,4.50%,5.11%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_5/1,, Offline ,30,Fixed,4.88%,5.20%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,, Offline ,30,Fixed,4.50%,4.61%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,20YMF,Mortgage_20-yr,, Offline ,20,Fixed,4.38%,4.48%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,, Offline ,15,Fixed,4.00%,4.17%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_7/1,, Offline ,30,Fixed,4.50%,4.83%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_5/1,, Offline ,30,Fixed,4.63%,4.87%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,, Offline ,30,Fixed,4.50%,4.58%,"5,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,, Offline ,15,Fixed,4.38%,4.52%,"5,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_7/1,, Offline ,30,Fixed,4.00%,4.50%,"5,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_5/1,, Offline ,30,Fixed,4.00%,4.60%,"5,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30 Yr Fixed,,Offline,30,Fixed,4.63%,4.80%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,20YMF,20 Yr Fixed,,Offline,20,Fixed,4.25%,4.55%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,15 Yr Fixed,,Offline,15,Fixed,3.88%,4.23%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,10YMF,10 Yr Fixed,,Offline,10,Fixed,3.75%,4.27%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,3-1 ARM,,Offline,30,Variable,3.88%,4.86%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5-1 ARM,,Offline,30,Variable,3.88%,4.76%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7-1 ARM,,Offline,30,Variable,4.00%,4.71%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10-1 ARM,,Offline,30,Variable,4.25%,4.70%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 Yr Fixed,,Offline,30,Fixed,4.50%,5.37%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,FHA 15 Yr Fixed,,Offline,15,Fixed,4.13%,5.24%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 Yr Fixed,,Offline,30,Fixed,4.63%,4.96%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,VA 15 Yr Fixed,,Offline,15,Fixed,4.50%,5.08%,"1,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30 Yr Fixed,,Offline,30,Fixed,4.38%,4.48%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,20YMF,20 Yr Fixed,,Offline,20,Fixed,4.13%,4.29%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,15 Yr Fixed,,Offline,15,Fixed,3.75%,3.92%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,10YMF,10 Yr Fixed,,Offline,10,Fixed,3.63%,3.94%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,3-1 ARM,,Offline,30,Variable,3.75%,4.74%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5-1 ARM,,Offline,30,Variable,3.75%,4.64%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7-1 ARM,,Offline,30,Variable,3.88%,4.59%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10-1 ARM,,Offline,30,Variable,4.13%,4.57%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 Yr Fixed,,Offline,30,Fixed,4.38%,5.18%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,FHA 15 Yr Fixed,,Offline,15,Fixed,3.88%,4.91%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 Yr Fixed,,Offline,30,Fixed,4.38%,4.66%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,VA 15 Yr Fixed,,Offline,15,Fixed,3.88%,4.41%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30 YR FIXEDLoan Details,,Offline,30,Fixed,4.13%,4.25%,"5,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,15 YR FIXEDLoan Details,,Offline,15,Fixed,3.75%,3.97%,"5,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5-1 YR ARMLoan Details,,Offline,30,Variable,3.25%,4.64%,"5,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7-1 YR ARMLoan Details,,Offline,30,Variable,3.38%,4.54%,"5,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10-1 YR ARMLoan Details,,Offline,30,Variable,3.63%,4.43%,"5,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 YR FIXED,,Offline,30,Fixed,4.38%,5.18%,"5,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,FHA 5-1 ARM,,Offline,30,Variable,3.75%,5.21%,"5,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 YR FIXED,,Offline,30,Fixed,4.38%,4.67%,"5,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,VA 5-1 ARM,,Offline,30,Variable,4.00%,4.62%,"5,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,30YMF,Agency 30 Year Fixed,,Offline,30,Fixed,4.49%,4.55%,"2,00,000",20%,720,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,15YMF,Agency 15 Year Fixed,,Offline,15,Fixed,3.80%,3.91%,"2,00,000",20%,720,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,30YMF,Jumbo 30 Year Fixed,,Offline,30,Fixed,4.63%,4.68%,"5,00,000",25%,720,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,30YMV,Agency 30 Year 5/1 ARM,,Offline,30,Variable,3.99%,4.63%,"2,00,000",20%,720,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,30YMV,Agency 30 Year 7/1 ARM,,Offline,30,Variable,3.90%,4.48%,"2,00,000",20%,720,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,30YMF,FHA 30 Year Fixed,,Offline,30,Fixed,4.25%,5.32%,"2,00,000",4%,660,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,30YMF,VA 30 Year Fixed,,Offline,30,Fixed,4.25%,4.49%,"2,00,000",0%,720,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,15YMF,VA 15 Year Fixed,,Offline,15,Fixed,4.38%,4.81%,"2,00,000",0%,720,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,30YMV,VA 30 Year 5/1 ARM,,Offline,30,Variable,4.99%,4.84%,"2,00,000",0%,720,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,WELLS FARGO,USD,Bank,Mortgages,Mortgages,30YMF,30-Year Fixed Rate,,Offline,30,Fixed,4.50%,4.58%,"2,00,000",25%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,WELLS FARGO,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30,Variable,4.25%,4.64%,"2,00,000",25%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,WELLS FARGO,USD,Bank,Mortgages,Mortgages,15YMF,15-Year Fixed Rate,,Offline,15,Fixed,4.13%,4.25%,"2,00,000",25%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,WELLS FARGO,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30,Variable,4.13%,4.68%,"2,00,000",25%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,WELLS FARGO,USD,Bank,Mortgages,Mortgages,30YMF,30-Year Fixed-Rate VA,,Offline,30,Fixed,4.63%,4.94%,"2,00,000",0%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,WELLS FARGO,USD,Bank,Mortgages,Mortgages,20YMF,20-Year Fixed Rate,,Offline,20,Fixed,4.38%,4.46%,"2,00,000",25%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,WELLS FARGO,USD,Bank,Mortgages,Mortgages,15YMF,15-Year Fixed-Rate Jumbo,,Offline,15,Fixed,4.38%,4.39%,"7,50,000",25%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,WELLS FARGO,USD,Bank,Mortgages,Mortgages,30YMF,30-Year Fixed-Rate Jumbo,,Offline,30,Fixed,4.63%,4.63%,"7,50,000",25%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,WELLS FARGO,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM Jumbo,,Offline,30,Variable,4.13%,4.52%,"7,50,000",25%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-16,US,New York,WELLS FARGO,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM Jumbo,,Offline,30,Variable,4.25%,4.50%,"7,50,000",25%,740,New Purchase,Primary Residence,Principal + Interest
