Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minimum_Balance,Bank_Offer_Feature,Product_Term (M),Product_Term (Y),Interest_Type,Product_Interest,Product_APY,Mortgage_Loan,Mortgage_Down_Payment,Credit_Score,Mortgage_APR,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode
03/08/2018,US,New York,ALLY,USD,Bank,Deposits,Savings,SB,Online Savings,N/A,Online,N/A,N/A,N/A,N/A,1.45%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,ALLY,USD,Bank,Deposits,Savings,SB,Money Market,"Less than $5,000 opening deposit",Online,N/A,N/A,N/A,N/A,0.90%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,ALLY,USD,Bank,Deposits,Savings,SB,Money Market,"$5,000 minimum opening deposit",Online,N/A,N/A,N/A,N/A,0.90%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,ALLY,USD,Bank,Deposits,Savings,SB,Money Market,"$25,000 minimum opening deposit",Online,N/A,N/A,N/A,N/A,1.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,ALLY,USD,Bank,Deposits,CDs,6M_CD,High Yield CDs_6 month,"Less than $5,000",Online,6,N/A,N/A,N/A,1.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,ALLY,USD,Bank,Deposits,CDs,12M_CD,High Yield CDs_12 month,"Less than $5,000",Online,12,N/A,N/A,N/A,1.75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,ALLY,USD,Bank,Deposits,CDs,36M_CD,High Yield CDs_3 year,"Less than $5,000",Online,36,N/A,N/A,N/A,1.85%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,ALLY,USD,Bank,Deposits,CDs,6M_CD,High Yield CDs_6 month,"$5,000-$24,999.99",Online,6,N/A,N/A,N/A,1.60%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,ALLY,USD,Bank,Deposits,CDs,12M_CD,High Yield CDs_12 month,"$5,000-$24,999.99",Online,12,N/A,N/A,N/A,1.85%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,ALLY,USD,Bank,Deposits,CDs,36M_CD,High Yield CDs_3 year,"$5,000-$24,999.99",Online,36,N/A,N/A,N/A,2.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,ALLY,USD,Bank,Deposits,CDs,6M_CD,High Yield CDs_6 month,"$25,000 or more",Online,6,N/A,N/A,N/A,1.75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,ALLY,USD,Bank,Deposits,CDs,12M_CD,High Yield CDs_12 month,"$25,000 or more",Online,12,N/A,N/A,N/A,2.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,ALLY,USD,Bank,Deposits,CDs,36M_CD,High Yield CDs_3 year,"$25,000 or more",Online,36,N/A,N/A,N/A,2.10%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,ALLY,USD,Bank,Mortgage,Mortgage,30Y_MF,Fixed Rate Mortgage _ 30-yr,N/A,Online,360,30,Fixed,4.63%,N/A,"$300,000 ",20%,720+,4.63%,New Purchase,Primary Residency,Principal and Interest
03/08/2018,US,New York,ALLY,USD,Bank,Mortgage,Mortgage,25Y_MF,Fixed Rate Mortgage _ 25-yr,N/A,Online,300,25,Fixed,4.63%,N/A,"$300,000 ",20%,720+,4.64%,New Purchase,Primary Residency,Principal and Interest
03/08/2018,US,New York,ALLY,USD,Bank,Mortgage,Mortgage,20Y_MF,Fixed Rate Mortgage _ 20-yr,N/A,Online,240,20,Fixed,4.38%,N/A,"$300,000 ",20%,720+,4.40%,New Purchase,Primary Residency,Principal and Interest
03/08/2018,US,New York,ALLY,USD,Bank,Mortgage,Mortgage,15Y_MF,Fixed Rate Mortgage _ 15-yr,N/A,Online,180,15,Fixed,4.13%,N/A,"$300,000 ",20%,720+,4.13%,New Purchase,Primary Residency,Principal and Interest
03/08/2018,US,New York,ALLY,USD,Bank,Mortgage,Mortgage,10Y_MF,Fixed Rate Mortgage _ 10-yr,N/A,Online,120,10,Fixed,4.13%,N/A,"$300,000 ",20%,720+,4.19%,New Purchase,Primary Residency,Principal and Interest
03/08/2018,US,New York,ALLY,USD,Bank,Mortgage,Mortgage,30Y_MV,Adjustable Rate Mortgage _ 10/1,N/A,Online,360,30,Variable,4.50%,N/A,"$300,000 ",20%,720+,4.62%,New Purchase,Primary Residency,Principal and Interest
03/08/2018,US,New York,ALLY,USD,Bank,Mortgage,Mortgage,30Y_MV,Adjustable Rate Mortgage _ 7/1,N/A,Online,360,30,Variable,4.50%,N/A,"$300,000 ",20%,720+,4.66%,New Purchase,Primary Residency,Principal and Interest
03/08/2018,US,New York,ALLY,USD,Bank,Mortgage,Mortgage,30Y_MV,Adjustable Rate Mortgage _ 5/1,N/A,Online,360,30,Variable,4.50%,N/A,"$300,000 ",20%,720+,4.69%,New Purchase,Primary Residency,Principal and Interest
03/08/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgage,Mortgage,30Y_MF,Mortgage_30-yr,N/A,Offline,360,30,Fixed,4.75%,N/A,"$100,000 ",20%,720+,5.04%,New Purchase,Primary Residency,Principal and Interest
03/08/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgage,Mortgage,20Y_MF,Mortgage_20-yr,N/A,Offline,240,20,Fixed,4.50%,N/A,"$100,000 ",20%,720+,4.87%,New Purchase,Primary Residency,Principal and Interest
03/08/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgage,Mortgage,15Y_MF,Mortgage_15-yr,N/A,Offline,180,15,Fixed,4.38%,N/A,"$100,000 ",20%,720+,4.85%,New Purchase,Primary Residency,Principal and Interest
03/08/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgage,Mortgage,30Y_MV,Mortgage_7/1,N/A,Offline,360,30,Variable,4.50%,N/A,"$100,000 ",20%,720+,5.06%,New Purchase,Primary Residency,Principal and Interest
03/08/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgage,Mortgage,30Y_MV,Mortgage_5/1,N/A,Offline,360,30,Variable,4.88%,N/A,"$100,000 ",20%,720+,5.12%,New Purchase,Primary Residency,Principal and Interest
03/08/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgage,Mortgage,30Y_MF,Mortgage_30-yr,N/A,Offline,360,30,Fixed,4.63%,N/A,"$300,000 ",20%,720+,4.71%,New Purchase,Primary Residency,Principal and Interest
03/08/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgage,Mortgage,20Y_MF,Mortgage_20-yr,N/A,Offline,240,20,Fixed,4.38%,N/A,"$300,000 ",20%,720+,4.51%,New Purchase,Primary Residency,Principal and Interest
03/08/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgage,Mortgage,15Y_MF,Mortgage_15-yr,N/A,Offline,180,15,Fixed,4.13%,N/A,"$300,000 ",20%,720+,4.26%,New Purchase,Primary Residency,Principal and Interest
03/08/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgage,Mortgage,30Y_MV,Mortgage_7/1,N/A,Offline,360,30,Variable,4.50%,N/A,"$300,000 ",20%,720+,4.77%,New Purchase,Primary Residency,Principal and Interest
03/08/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgage,Mortgage,30Y_MV,Mortgage_5/1,N/A,Offline,360,30,Variable,4.63%,N/A,"$300,000 ",20%,720+,4.79%,New Purchase,Primary Residency,Principal and Interest
03/08/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgage,Mortgage,30Y_MF,Mortgage_30-yr,N/A,Offline,360,30,Fixed,4.63%,N/A,"$500,000 ",20%,720+,4.67%,New Purchase,Primary Residency,Principal and Interest
03/08/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgage,Mortgage,15Y_MF,Mortgage_15-yr,N/A,Offline,180,15,Fixed,4.38%,N/A,"$500,000 ",20%,720+,4.52%,New Purchase,Primary Residency,Principal and Interest
03/08/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgage,Mortgage,30Y_MV,Mortgage_7/1,N/A,Offline,360,30,Variable,4.00%,N/A,"$500,000 ",20%,720+,4.44%,New Purchase,Primary Residency,Principal and Interest
03/08/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgage,Mortgage,30Y_MV,Mortgage_5/1,N/A,Offline,360,30,Variable,4.00%,N/A,"$500,000 ",20%,720+,4.51%,New Purchase,Primary Residency,Principal and Interest
03/08/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Deposits,Checking,CC,Chase Premier Plus Checking SM,All Balances,Offline,N/A,N/A,N/A,0.01%,0.01%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Deposits,Savings,SB,Chase Savings SM,All Balances,Offline,N/A,N/A,N/A,0.01%,0.01%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Deposits,CDs,36M_CD,CERTIFICATES OF DEPOSIT (CD) ,N/A,Offline,36,N/A,N/A,0.05%,0.05%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Deposits,CDs,6M_CD,CERTIFICATES OF DEPOSIT (CD) ,N/A,Offline,6,N/A,N/A,0.01%,0.01%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Deposits,CDs,12M_CD,CERTIFICATES OF DEPOSIT (CD) ,N/A,Offline,12,N/A,N/A,0.01%,0.01%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
