Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Performance Interest Checking,"2,000.00","9,999.99",offline,,Variable,0.01%,0.01%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Performance Interest Checking,"10,000.00","49,999.99",offline,,Variable,0.01%,0.01%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Performance Interest Checking,"50,000.00","99,999.99",offline,,Variable,0.01%,0.01%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Performance Interest Checking,"100,000.00",,offline,,Variable,0.01%,0.01%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Performance Select Interest Checking,"2,000.00","9,999.99",offline,,Variable,0.01%,0.01%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Performance Select Interest Checking,"10,000.00","49,999.99",offline,,Variable,0.01%,0.01%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Performance Select Interest Checking,"50,000.00","99,999.99",offline,,Variable,0.01%,0.01%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Performance Select Interest Checking,"100,000.00",,offline,,Variable,0.01%,0.01%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Standard Savings,1.00,"2,499.99",offline,,Variable,0.01%,0.01%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Savings,_MSBV,Standard Savings,"2,500.00",,offline,,Variable,0.01%,0.01%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Savings,_MSBV,'S' is for Savings,1.00,499.99,offline,,Variable,0.01%,0.01%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Savings,_MSBV,'S' is for Savings,500.00,"1,499.99",offline,,Variable,0.01%,0.01%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Savings,_MSBV,'S' is for Savings,"1,500.00",,offline,,Variable,0.01%,0.01%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,6MCDF,6 MONTHS,1.00,999.99,offline,6.0,Fixed,0.04%,0.04%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,6MCDF,6 MONTHS,"1,000.00","9,999.99",offline,6.0,Fixed,0.06%,0.06%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,6MCDF,6 MONTHS,"10,000.00","24,999.99",offline,6.0,Fixed,0.08%,0.08%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,6MCDF,6 MONTHS,"25,000.00","99,999.99",offline,6.0,Fixed,0.10%,0.10%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,6MCDF,6 MONTHS,"100,000.00","499,999.99",offline,6.0,Fixed,0.12%,0.12%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,6MCDF,6 MONTHS,"500,000.00",,offline,6.0,Fixed,0.14%,0.14%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,12MCDF,12 MONTHS,1.00,999.99,offline,12.0,Fixed,0.04%,0.04%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,12MCDF,12 MONTHS,"1,000.00","9,999.99",offline,12.0,Fixed,0.15%,0.15%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,12MCDF,12 MONTHS,"10,000.00","24,999.99",offline,12.0,Fixed,0.18%,0.18%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,12MCDF,12 MONTHS,"25,000.00","99,999.99",offline,12.0,Fixed,0.20%,0.20%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,12MCDF,12 MONTHS,"100,000.00","499,999.99",offline,12.0,Fixed,0.22%,0.22%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,12MCDF,12 MONTHS,"500,000.00",,offline,12.0,Fixed,0.24%,0.24%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,24MCDF,24 MONTHS,1.00,999.99,offline,24.0,Fixed,0.04%,0.04%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,24MCDF,24 MONTHS,"1,000.00","9,999.99",offline,24.0,Fixed,0.25%,0.25%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,24MCDF,24 MONTHS,"10,000.00","24,999.99",offline,24.0,Fixed,0.30%,0.30%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,24MCDF,24 MONTHS,"25,000.00","99,999.99",offline,24.0,Fixed,0.35%,0.35%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,24MCDF,24 MONTHS,"100,000.00","499,999.99",offline,24.0,Fixed,0.40%,0.40%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,24MCDF,24 MONTHS,"500,000.00",,offline,24.0,Fixed,0.45%,0.45%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,36MCDF,36 MONTHS,1.00,999.99,offline,36.0,Fixed,0.04%,0.04%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,36MCDF,36 MONTHS,"1,000.00","9,999.99",offline,36.0,Fixed,0.30%,0.30%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,36MCDF,36 MONTHS,"10,000.00","24,999.99",offline,36.0,Fixed,0.35%,0.35%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,36MCDF,36 MONTHS,"25,000.00","99,999.99",offline,36.0,Fixed,0.40%,0.40%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,36MCDF,36 MONTHS,"100,000.00","499,999.99",offline,36.0,Fixed,0.45%,0.45%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,36MCDF,36 MONTHS,"500,000.00",,offline,36.0,Fixed,0.50%,0.50%
03/12/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,CDs,12MCDF,Ready Access Certificate of Deposit,"1,000.00",,offline,12.0,Fixed,0.15%,0.15%
03/12/2018,US,New York,Synchrony,USD,Bank,Deposits,Deposits,3MCDV,CD_3-month,"2,000",,Online,3.0,Variable,,0.75%
03/12/2018,US,New York,Synchrony,USD,Bank,Deposits,Deposits,6MCDV,CD_6-month,"2,000",,Online,6.0,Variable,,1.00%
03/12/2018,US,New York,Synchrony,USD,Bank,Deposits,Deposits,9MCDV,CD_9-month,"2,000",,Online,9.0,Variable,,1.25%
03/12/2018,US,New York,Synchrony,USD,Bank,Deposits,Deposits,12MCDV,CD_12-month,"2,000",,Online,12.0,Variable,,1.95%
03/12/2018,US,New York,Synchrony,USD,Bank,Deposits,Deposits,18MCDV,CD_18-month,"2,000",,Online,18.0,Variable,,1.95%
03/12/2018,US,New York,Synchrony,USD,Bank,Deposits,Deposits,24MCDV,CD_24-month,"2,000",,Online,24.0,Variable,,2.10%
03/12/2018,US,New York,Synchrony,USD,Bank,Deposits,Deposits,36MCDV,CD_36-month,"2,000",,Online,36.0,Variable,,2.05%
03/12/2018,US,New York,Synchrony,USD,Bank,Deposits,Deposits,48MCDV,CD_48-month,"2,000",,Online,48.0,Variable,,2.20%
03/12/2018,US,New York,Synchrony,USD,Bank,Deposits,Deposits,60MCDV,CD_60-month,"2,000",,Online,60.0,Variable,,2.50%
03/12/2018,US,New York,Synchrony,USD,Bank,Deposits,Deposits,_MCDV,Money Market Rates and Terms,,"4,999",Online,,Variable,,1.05%
03/12/2018,US,New York,Synchrony,USD,Bank,Deposits,Deposits,_MCDV,Money Market Rates and Terms,"5,000","24,999",Online,,Variable,,1.05%
03/12/2018,US,New York,Synchrony,USD,Bank,Deposits,Deposits,_MCDV,Money Market Rates and Terms,"25,000",,Online,,Variable,,1.05%
03/12/2018,US,New York,Synchrony,USD,Bank,Deposits,Deposits,_MCDV,HYS Rates and Terms,,"4,999",Online,,Variable,,1.55%
03/12/2018,US,New York,Synchrony,USD,Bank,Deposits,Deposits,_MCDV,HYS Rates and Terms,"5,000","24,999",Online,,Variable,,1.55%
03/12/2018,US,New York,Synchrony,USD,Bank,Deposits,Deposits,_MCDV,HYS Rates and Terms,"25,000",,Online,,Variable,,1.55%
03/12/2018,US,New York,Wells Fargo,USD,Bank,Deposits,Checking,_MCCV,Wells Fargo Everyday Checking,,,Offline,,Variable,,
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,_MSBV,Wells Fargo Way2Save,0,,Offline,,Variable,0.01%,0.01%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,_MSBV,Platinum Savings - Special Interest,0,"24,999.99",Offline,,Variable,0.03%,0.03%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,_MSBV,Platinum Savings - Special Interest,"25,000","99,999.99",Offline,,Variable,1.25%,0.34%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,_MSBV,Platinum Savings - Special Interest,"100,000",,Offline,,Variable,1.25%,0.35%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,_MSBV,Platinum Savings - Standard Interest,0,"99,999.99",Offline,,Variable,0.03%,0.03%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,_MSBV,Platinum Savings - Standard Interest,"100,000",,Offline,,Variable,0.05%,0.05%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,9MSBV,Special CD,,,Offline,9.0,Variable,0.35%,0.35%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,19MSBV,Special CD,,,Offline,19.0,Variable,1.59%,1.60%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,39MSBV,Special CD,,,Offline,39.0,Variable,1.14%,1.15%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,58MSBV,Special CD,,,Offline,58.0,Variable,1.19%,1.20%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,3MSBV,CD,0,"4,999.99",Offline,3.0,Variable,0.01%,0.01%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,3MSBV,CD,"5,000","9,999.99",Offline,3.0,Variable,0.01%,0.01%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,3MSBV,CD,"10,000","24,999.99",Offline,3.0,Variable,0.01%,0.01%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,3MSBV,CD,"25,000","49,999.99",Offline,3.0,Variable,0.01%,0.01%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,3MSBV,CD,"50,000","99,999.99",Offline,3.0,Variable,0.01%,0.01%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,3MSBV,CD,"100,000",,Offline,3.0,Variable,0.01%,0.01%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,6MSBV,CD,0,"4,999.99",Offline,6.0,Variable,0.01%,0.01%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,6MSBV,CD,"5,000","9,999.99",Offline,6.0,Variable,0.01%,0.01%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,6MSBV,CD,"10,000","24,999.99",Offline,6.0,Variable,0.01%,0.01%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,6MSBV,CD,"25,000","49,999.99",Offline,6.0,Variable,0.01%,0.01%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,6MSBV,CD,"50,000","99,999.99",Offline,6.0,Variable,0.01%,0.01%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,6MSBV,CD,"100,000",,Offline,6.0,Variable,0.01%,0.01%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,12MSBV,CD,0,"4,999.99",Offline,12.0,Variable,0.05%,0.05%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,12MSBV,CD,"5,000","9,999.99",Offline,12.0,Variable,0.05%,0.05%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,12MSBV,CD,"10,000","24,999.99",Offline,12.0,Variable,0.05%,0.05%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,12MSBV,CD,"25,000","49,999.99",Offline,12.0,Variable,0.05%,0.05%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,12MSBV,CD,"50,000","99,999.99",Offline,12.0,Variable,0.05%,0.05%
03/12/2018,US,New York,WELLS FARGO,USD,Bank,Deposits,Savings,12MSBV,CD,"100,000",,Offline,12.0,Variable,0.05%,0.05%
